temperature	humidity	windspeed	cloudcover
20.55	0.37	1.5	0.5
25.95	0.38	2.09	0
31.14	0.38	2.09	0
35.96	0.19	1	0
35.54	0.48	4.11	0
38.94	0.35	4.11	0.38
33.33	0.57	4.11	0.5
30.55	0.76	2.6	0.88
27.95	0.81	3.1	0.88
31.95	0.42	1	0
29.15	0.43	1	0.25
26.34	0.43	1.5	0
22.94	0.8	0	0.75
21.95	0.28	1	0
29.94	0.26	1	0
37.94	0.2	2.09	0
30.95	0.32	0.0	0.0
43.34	0.23	4.11	0
30.95	0.68	2.09	0.63
25.74	0.84	4.6	1
28.95	0.78	1	0.88
29.94	0.71	4.11	0.88
25.95	0.83	1	1
27.34	0.44	1	0
26.34	0.69	3.1	0.75
27.34	0.38	1	0
28.75	0.2	0	0
36.35	0.3	1.5	0.5
39.32	0.24	4.11	0.13
35.96	0.41	2.09	0.13
25.95	0.92	2.09	1
26.14	0.9	2.09	1
31.75	0.65	1.5	0.5
25.95	0.92	1	1
29.35	0.46	0.0	1.0
27.95	0.42	1.0	0.0
25.95	0.49	0.0	0.5
26.34	0.28	2.6	0.5
25.34	0.63	1.5	0.75
36.35	0.2	2.09	0.0
37.94	0.3	3.1	0.75
37.94	0.4	1	0.38
37.74	0.42	4.11	0.38
29.94	0.72	4.11	0.75
24.74	0.92	2.09	1
32.34	0.52	0	0.13
28.95	0.45	1.5	0.4
27.95	0.31	1.5	0.0
21.75	0.82	0	0.88
26.73	0.25	1.0	0.4
19.75	0.93	1	1
35.54	0.32	4.6	1.0
37.74	0.3	3.1	0.0
35.36	0.37	2.6	0.13
25.14	0.93	1.5	1
31.56	0.6	4.11	0.75
30.33	0.73	2.09	0.5
32.55	0.63	1	0.5
29.94	0.58	2.6	0.5
30.55	0.42	0.0	0.5
26.34	0.43	0.0	0.5
29.85	0.41	1.5	0
32.34	0.44	0	0
36.6	0.3	3.22	0
40.63	0.25	4.11	0
39.97	0.29	1.58	0.31
31.95	0.6	3.1	0.5
29.62	0.77	2.09	0.71
29.15	0.71	3.1	0.75
28.98	0.75	2.09	0.63
29.44	0.58	1	0.13
26.43	0.59	0.5	0.25
26.36	0.49	1.52	0
26.41	0.4	1.73	0
31.56	0.32	2.09	0
37.13	0.27	3.1	0
36.43	0.24	4.11	0.38
34.95	0.53	1	0.25
25.55	0.93	1	1
31.95	0.6	1	0.5
31.66	0.59	2.2	0.63
27.95	0.76	1	0.88
28.46	0.47	1.44	0.04
24.71	0.41	1.71	0
23.71	0.47	0.69	0
29.37	0.2	1.41	0
33.6	0.25	1.19	0
30.87	0.41	1.97	0
34.74	0.36	4.25	0.15
30.0	0.3	3.0	0.1
28.0	0.3	3.0	0.1
27.15	0.87	4.77	0.99
25.03	1	3.9	1
32.33	0.58	1.34	0.05
29	0.59	3.05	0
24.98	0.49	2.45	0.46
22.84	0.36	1.85	0
25.17	0.34	1.06	0
27.58	0.39	2.95	0.05
36.74	0.04	2.07	0
36.97	0.34	3.61	0.65
39.57	0.27	2.51	0.18
26.67	0.91	5.63	1
26.59	0.93	5.49	1
27.2	0.92	3.84	0.94
29.26	0.78	5.77	0.73
28.66	0.66	2.56	0.35
26.52	0.55	3.23	0.77
22.35	0.54	4.18	0.49
22.26	0.36	3.79	0.52
28.14	0.4	2.67	0.21
33.44	0.3	1.83	0.18
36.87	0.28	2.11	0.29
35.52	0.39	2.51	0.52
31.2	0.62	2.79	0.77
28.64	0.78	2.62	0.87
29.6	0.73	2.07	0.73
30.25	0.62	1.55	0.47
27.62	0.55	1.27	0.25
23.94	0.5	1.14	0.15
